content_id,content,subject,sentiment_word,sentiment_value
0,Silent Angel期待您的光临，共赏美好的声音！,其他,好,1
2,这只HD650在1k的失真左声道是右声道的6倍左右，也超出官方规格参数范围（0.05%），看来是坏了,其他,,0
3,达音科 17周年 倒是数据最好看，而且便宜,配置,好,1
4,bose，beats，apple的消費者根本不知道有曲線的存在,其他,,0
5,不错的数据,配置,不错,1
7,我觉得任何人都可以明确分别高端耳机之间的区别，不用出声都可以，毕竟佩戴感不一样，这还没法做到盲听,价格,,0
8,听出区别是一方面，听出高低的层次要求就更高了。,其他,,0
9,有没有人能从10条电源线里，听出最贵的是哪条？,配置,,0
10,二级银耳朵，对号入座下,其他,,0
11,一般来说所谓“发烧友”起步应该是铜耳朵这个级别，达不到的话就别在HIFI上浪费钱了，入门级产品玩玩就可以了。,其他,,0
12,我觉得器材到一定级别，搭配好了，达到听出来线材区别是一件非常容易的事情。,配置,好,1
13,不知老大是哪个级别的,其他,,0
14,自我定位一下，算个铜耳朵吧,其他,,0
15,不是还要能分辩水电，火电和核电的吗。 能分辨这个的是什么耳朵,配置,,0
16,看了下最多到一级银耳朵顶天了。但 mp3 和无损不一定能听出来。,其他,,0
17,银耳飘过。。。,其他,,0
18,正在测试，希望论坛的帖子回复提醒功能能整合到APP里面,其他,,0
19,网页的手机版总是无法退到上一层，希望这个能做好,其他,好,1
20,移动4G表示速度还可以，可能同时在线人数比较多的时候，会稍慢,配置,,0
21,版块名称有些显示不全，这个问题已经提交给软件开发商了。估计改好还要点时间。,其他,好,1
22,请求IOS版加速上线,配置,,0
23,消息不互通这个设定难以理解,其他,,0
24,"太棒了, 期待ios版本",其他,,0
25,我也要ios的,其他,,0
26,IOS版啥时候有？,其他,,0
27,多看，少问，看得多了有很多问题可以免问,其他,,0
28,用搜索是很有效的！,其他,,0
29,晕，。。。。几乎一半都是888的问题。。。。,其他,,0
30,入门的贴子也有几个，但是不太系统，你的建议很好，近期我去整理一下，再找些资料。,其他,好,1
31,搜索很方便嘛.........,功能,,0
32,看不懂,其他,,0
33,这论坛搜索很快的，很爽，俺经常用！,其他,,0
34,不会发有钱也没用啊,价格,,0
35,支持斑竹，标题不明了的话，有的时候根本就懒得进去看，起码我是这样的，别人我就不知道啦，呵呵~~~~~,其他,呵呵,-1
36,如果没有人进去看的话，问题也就得不到解决啦，不是吗？,其他,,0
37,鉴于近期出现少数人破坏论坛规则、乱发贴的现象，特参照其他网站制定了更为详细的论坛规则、网站声明等，放在首页，请网友们自觉遵守，如对有其他建议和补充欢迎提出！,其他,,0
38,沙发,其他,,0
39,hao,其他,,0
40,学习....,其他,,0
41,新手的好东西啊！,其他,好,1
42,温故可知新... 好贴!,其他,好,1
43,不错的DD～,其他,不错,1
44,"very good ,God helps me!",其他,,0
45,好贴！~~支持！,其他,好,1
46,"好,顶一下",其他,好,1
47,谢谢啦～～～！,其他,,0
48,醍醐灌顶,其他,,0
49,学习一下,其他,,0
50,thanx a great deal,其他,,0
51,谢谢...老鸟们.,其他,,0
52,感谢~~~烧阿~~,其他,,0
53,好东西啊~~~~,其他,好,1
54,欢迎上海的烧友们来试听！,其他,,0
55,离得远精神支持,其他,,0
56,ada-8xr的动态爆棚,音质,,0
57,看PM下哈,其他,,0
58,Total dac,其他,,0
59,8xr可以，也符合你预算,其他,,0
60,二手五万能看看原价近十万那堆了吧,其他,,0
61,安定感基本上看时钟和电源,配置,,0
62,一直觉得安定感是个难以捉摸的概念，细化到音乐的三元素应该怎么定义呢？扩大到声场空气感这些概念？还是要从设备说起,其他,,0
63,树莓派能响而已，不要想出好声。,其他,好,1
64,百万。,其他,,0
65,我来说个简单易用的，觉聆J18。,其他,,0
66,ZEN比较好升级，直接加个can就行,其他,好,1
67,SA3000应该够冷了吧。,其他,,0
68,铁三角,其他,,0
69,9500,其他,,0
70,请问升级插排、第一根电源线、第二根电源线的提升用数字量化的话大概是什么样的,配置,,0
71,之前买过一条ps1200，一开声实在是接受不了（完全打不开，缩成一团的糊），立马卖了，可能老叶的线太需要煲了，不像其他的电源线，虽然还是有煲的空间，但是不至于一开声有点听不下去,配置,,0
